nyamú	m a m u
nyina	m ĩ n a
park	p a r k
queen	k e ẽ
rimwe	r ĩ w e
rúhuho	r u h u h o
wakwa	w a k a
íría	i r i a
îrîa	i r i a
agendi	a ɡ ẽ d i
atĩ	a t e
guoko	ɡ u o k o
gwa	ɡ w a
hanini	h a n ĩ n i
igĩrĩ	i ɡ e r e
kiambu	k i ẽ b u
kíhoto	k i h o t o
kūrì	k u r i
macio	m a t i o
mahenya	m a h ẽ j a
mùthenya	m u s ẽ j a
mūgwanja	m u ɡ w ẽ d a
mūirū	m u i r u
nyamu	m a m u
othe	o s e
round	r o ũ d
taríki	t a r i k i
about	a b o u t
biacara	b i a t a r a
ciao	t i j a o
cukuru	t u k u r u
elizabeth	e l i s a b e s
ihoto	i h o t o
jomo	d o m o
kuongerera	k u o ɡ e r e r a
matano	m a t a n o
munene	m u n e n e
mwerū	m w e r u
míthako	m i s a k o
ng'ombe	ɡ o b e
nyama	m a m a
riûa	r i w a
thĩĩ	s e b
ĩna	e n a
ūrugarì	u r u ɡ a r i
aciarirwo	a t i a r i r w o
juma	d u m a
kau	k a w
kúria	k u r i a
maaì	m a i
macungwa	m a t ũ ɡ w a
matunda	m a t ũ d a
muoyo	m u o j o
múnene	m u n e n e
mũthenya	m o s ẽ j a
ndingirii	d ĩ ɡ i r i
niyo	n i j o
njira	d i r a
nyingì	m ĩ ɡ i
rìrìa	r i r i a
timu	t i m u
uganda	u ɡ ã d a
îîrî	i r i
ûrugarî	u r u ɡ a r i
ũrĩo	o r e o
ūmūthì	u m u s i
icio	i t i o
kuo	k u o
kuumana	k u m a n a
mìaka	m i a k a
mūingì	m u ĩ ɡ i
mūnene	m u n e n e
roundabout	r o ũ d a b o u t
taûni	t a u n i
wathani	w a s a n i
wĩra	w e r a
atírí	a t i r i
brown	b r o w n
ethiopia	e t i o p i a
giki	ɡ i k i
gìthiūrūrì	ɡ i s i u r u r i
iburi	i b u r i
igírí	i ɡ i r i
ina	ĩ n a
ingi	ĩ ɡ i
ithatũ	i s a t o
kùri	k u r i
kūrìa	k u r i a
rìera	r i e r a
rìmwe	r ĩ w e
town	t o w n
world	w o r l d
ína	ĩ n a
ùyù	u j u
úria	u r i a
ciake	t i j a k e
gîa	ɡ i a
igongona	i ɡ õ ɡ o n a
iguru	i ɡ u r u
jumamothi	d u m a m o s i
keeri	k e r i
kisumu	k i s u m u
makíria	m a k i r i a
mbele	b e l e
mbitika	b i t i k a
mburuu	b u r u
naivasha	n a i f a ʃ a
ndume	d u m e
nìwe	n i w e
odinga	o d ĩ ɡ a
olympics	o j m p i t s
pink	p ĩ k
ríria	r i r i a
rĩrĩa	r e r e a
stage	s t a ɡ e
tuba	t u b a
uguo	u ɡ u o
wìyathi	w i j a s i
yao	j a o
ùmwe	ũ w e
ũyũ	o j o
arîa	a r i a
county	t o ũ k
gĩcunjĩ	ɡ e t ũ d e
ikundi	i k ũ d i
inĩ	ĩ n e
itatú	i t a t u
kauntî	k a ũ t i
kiama	k i a m a
marangi	m a r ã ɡ i
matú	m a t u
maundu	m a ũ d u
meeri	m e r i
mwerù	m w e r u
mwerú	m w e r u
ndegwa	d e ɡ w a
ngoro	ɡ o r o
sudan	s u d ɔ̃
the	s e
thî	s i
wari	w a r i
aingí	a ĩ ɡ i
aramithi	a r a m i s i
arì	a r i
arí	a r i
arî	a r i
christmas	t r i s t m a s
exit	e k s i t
gûgûkorûo	ɡ u ɡ u k o r u o
gūkū	ɡ u k u
híndí	h ĩ d i
hîndî	h ĩ d i
igûrû	i ɡ u r u
itunda	i t ũ d a
keerì	k e r i
kena	k e n a
kumana	k u m a n a
kwìna	k w ĩ n a
mabuku	m a b u k u
magūrū	m a ɡ u r u
make	m a k e
mathiko	m a s i k o
mwai	m w a i
mwanya	m w ã j a
mwerû	m w e r u
ngirini	m i r ĩ n i
njîra	d i r a
raila	r a i l a
thìinìe	s i n i e
thíinií	s i ĩ i
ìtatū	i t a t u
íno	ĩ n o
ùri	u r i
ùrio	u r i o
ũndũire	o d o i r e
cio	t i o
githomo	ɡ i s o m o
han	h ɔ̃
harĩa	h a r e a
ine	ĩ n e
international	ĩ t e r n a t i o n a l
ithaa	i s a
ithathatú	i s a s a t u
kanitha	k a n i s a
koori	k o r i
kìrìma	k i r i m a
maguta	m a ɡ u t a
makoragwo	m a k o r a ɡ w o
mara	m a r a
mûgwanja	m u ɡ w ẽ d a
nake	n a k e
ngima	m i m a
njega	d e ɡ a
njogu	d o ɡ u
nyamū	m a m u
nyúmba	m ũ b a
úrugarí	u r u ɡ a r i
ũndũ	ũ d o
ũrugarĩ	o r u ɡ a r e
arìa	a r i a
bururini	b u r u r ĩ n i
gatagatĩ	ɡ a t a ɡ a t e
hĩndĩ	h ɛ̃ d e
jira	d i r a
maitho	m a i s o
makîria	m a k i r i a
meerì	m e r i
muthemba	m u s ɛ̃ b a
mwiri	m w i r i
mûtongoria	m u t õ ɡ o r i a
mũnene	m o n e n e
nile	n i l e
njĩra	d e r a
nyoni	m o n i
ríera	r i e r a
rîrîa	r i r i a
thamaki	s a m a k i
thukuru	s u k u r u
victoria	f i t o r i a
wabici	w a b i t i
wiki	w i k i
wíra	w i r a
anja	ɔ̃ d a
arĩ	a r e
atongoria	a t õ ɡ o r i a
bùrùri	b u r u r i
eldoret	e l d o r e t
gaka	ɡ a k a
irí	i r i
kihoto	k i h o t o
kuura	k u r a
marìa	m a r i a
maũndũ	m a õ d o
mbunge	b ũ ɡ e
meciria	m e t i r i a
minister	m i n i s t e r
mirioni	m i r i o n i
mwene	m w e n e
múrúthi	m u r u s i
mūrūthi	m u r u s i
namo	n a m o
nobel	n o b e l
níwe	n i w e
paris	p a r i s
rímwe	r ĩ w e
rúi	r u i
tana	t a n a
taúni	t a u n i
thii	s i
thíinie	s i ĩ i e
thíí	s i
united	u n i t e d
waguo	w a ɡ u o
ûmûthî	u m u s i
ūngì	ũ ɡ i
athaki	a s a k i
biashara	b i a ʃ a r a
ciringi	t i r ĩ ɡ i
city	t i k
daniel	d a n i e l
gatatu	ɡ a t a t u
gũkũ	ɡ o k o
itano	i t a n o
ithatû	i s a t u
kagondu	k a ɡ õ d u
kibaki	k i b a k i
korea	k o r e a
kwaga	k a ɡ a
kìrìa	k i r i a
magúrú	m a ɡ u r u
maūndū	m a ũ d u
mwĩlĩ	m w i l e
mîena	m i e n a
mùndù	m ũ d u
mùrùthi	m u r u s i
múingí	m u ĩ ɡ i
niî	n i
